filename,avg_motion
TLZE3Z1cFxc-0:07:13.566-0:07:18.100.mp4,1.646278
BDDqHBwZ25Y-0:02:03.490-0:02:08.361.mp4,1.970567
M2HSbTUL_YA-0:05:14.522-0:05:17.191.mp4,3.081312
Pv8SKjRYF8c-0:02:09.229-0:02:11.464.mp4,3.126056
EiOtjmJQ49E-0:05:16.749-0:05:20.787.mp4,3.279147
IP4tmXKmqlk-0:00:06.520-0:00:19.000.mp4,3.663647
BK2sa7ZDSlo-0:15:03.040-0:15:11.480.mp4,3.920522
7RDj2FoGlBs-0:02:27.105-0:02:31.401.mp4,4.150078
MXI5HHS9mqs-0:00:47.814-0:00:52.519.mp4,4.917784
MmPUfR_Gfhw-0:08:34.766-0:08:38.433.mp4,4.984632
3PljIRJQcBk-0:00:00.467-0:00:04.504.mp4,5.767402
B4bjaT4HYeA-0:01:17.010-0:01:21.898.mp4,5.901375
GifFK7eoFYA-0:04:00.273-0:04:05.378.mp4,6.159037
DJ6Hd5FzJp4-0:02:03.600-0:02:07.360.mp4,6.971226
CMARTxYXEIY-0:11:11.333-0:11:26.266.mp4,7.024410
44Y-KVwjf3Q-0:00:04.583-0:00:13.041.mp4,7.312254
HoGzhkBEBWo-0:02:27.447-0:02:44.564.mp4,7.519198
BVV7aYT2vf4-0:05:10.009-0:05:50.783.mp4,7.557588
Q6ZkVE2oE5s-0:00:16.891-0:00:21.229.mp4,7.617786
Qfmeb2e_kb4-0:07:14.600-0:07:17.036.mp4,7.704612
KdS_QlxoqT4-0:06:55.640-0:07:03.040.mp4,7.834704
8VDXTaGuv1k-0:04:23.958-0:04:42.333.mp4,8.021966
N6oIhdTzx9Q-0:01:09.536-0:01:17.177.mp4,8.182510
2rFkHY4F7_c-0:01:05.615-0:01:35.578.mp4,8.239163
BpFokfCS6Mg-0:08:07.366-0:08:09.500.mp4,8.652843
UThmmnIPB68-0:06:36.320-0:06:41.880.mp4,8.925968
Esrh9PmR46g-0:44:47.320-0:44:52.040.mp4,9.555215
PYumPg54oOU-0:05:05.200-0:05:17.560.mp4,9.661009
8jB5rFrm-bo-0:01:20.433-0:01:25.566.mp4,10.217048
6Jq2fBUJJlY-0:03:07.320-0:03:13.826.mp4,10.708174
QNpiaQIZFIQ-0:07:08.250-0:07:20.250.mp4,10.935803
3DFRnfB25l8-0:03:26.360-0:03:29.840.mp4,11.158401
4P_TXpeTeCs-0:05:05.720-0:05:32.960.mp4,11.217716
66NbCZx5xXQ-0:00:28.570-0:00:33.074.mp4,11.234506
KPAFPyH8DJg-0:01:57.217-0:01:59.919.mp4,11.429927
3MZoXLp4d5E-0:00:05.480-0:00:09.520.mp4,12.022852
8wAXxtjerWk-0:00:01.126-0:00:03.461.mp4,12.228657
MkSjTrw8yPY-0:00:58.058-0:01:01.436.mp4,12.495731
DkwYLTzWvpI-0:03:56.169-0:04:24.731.mp4,12.608120
SZgX5CgRXTI-0:01:04.731-0:01:08.835.mp4,12.738323
8y542u65D1U-0:02:57.969-0:03:02.849.mp4,12.968582
U1uUS-ffRFM-0:00:48.840-0:00:54.720.mp4,13.085215
5opKlp7f3ZE-0:02:45.832-0:02:48.768.mp4,13.583597
K4dH40hJEdg-0:00:27.360-0:00:31.398.mp4,13.629162
5Q1f6Oij1NQ-0:00:12.762-0:00:16.891.mp4,13.632342
SWqB0JWPDW4-0:02:57.802-0:03:01.848.mp4,13.822604
6Z79Ffz99cM-0:00:20.720-0:00:56.723.mp4,13.935826
Ji_9m-zswT0-0:06:45.905-0:06:48.007.mp4,14.246287
JykjYIsGATk-0:40:54.800-0:40:59.680.mp4,14.722515
7iWebR_Zs3U-0:16:43.920-0:16:46.680.mp4,15.238211
ETS_USY8Kik-0:03:24.120-0:03:26.122.mp4,15.332264
5dsmqHWrPis-0:07:04.557-0:07:36.389.mp4,16.038382
2YhfssL7Sbw-0:00:13.830-0:00:15.999.mp4,16.066164
4aaN4DODY8c-0:16:35.828-0:17:15.267.mp4,16.106928
2eYIIopcvdQ-0:04:37.210-0:04:40.713.mp4,16.165384
8lO6Weps8Gg-0:06:47.640-0:06:57.450.mp4,16.433474
MKVIJMLXNWc-0:03:10.023-0:03:15.862.mp4,16.551506
EcO8CrQ1nUY-0:05:19.520-0:05:22.400.mp4,16.954960
CHOpoOnkRJE-0:00:53.845-0:00:56.514.mp4,17.046259
2Wk-f6t5K24-0:00:21.888-0:00:24.624.mp4,17.283369
68-QAwB8TdI-0:01:57.016-0:01:59.152.mp4,17.302641
GUu0SPliQnQ-0:03:10.060-0:03:20.160.mp4,17.347294
ADqDA2uLPpY-0:00:10.910-0:00:14.948.mp4,17.615738
L9brB_JZaUU-0:22:32.440-0:22:34.640.mp4,17.697224
NfG1760PrMg-0:02:49.560-0:02:52.160.mp4,17.745403
NxbSrAG2WbY-0:00:41.240-0:00:43.880.mp4,18.097607
GgpmBbE2zVY-0:00:15.807-0:00:31.948.mp4,18.099430
2iBgF8dHTZ8-0:08:31.093-0:08:34.555.mp4,18.441002
A5k3lQYfvLs-0:06:36.863-0:06:40.700.mp4,18.864447
ApZmVXqK_5o-0:03:55.100-0:03:58.166.mp4,18.905544
4V50xZ8Gzzk-0:02:03.333-0:02:22.966.mp4,18.944811
TbOlof0aZCI-0:01:18.640-0:01:22.520.mp4,19.129950
47cPpGN8SlU-0:04:53.359-0:04:57.163.mp4,19.312777
6PxI7LHU_mA-0:05:57.815-0:06:09.744.mp4,19.566210
GtrIJXADjWU-0:02:18.960-0:02:49.800.mp4,19.747955
IDJIshbr1h0-0:00:18.166-0:00:20.600.mp4,20.108398
K06ejIIbexw-0:00:30.864-0:00:33.867.mp4,20.230963
OWg-2_gdhnQ-0:00:24.791-0:00:28.028.mp4,20.295753
OOHtdCHP_uE-0:08:12.600-0:08:21.100.mp4,20.321562
